Fecha,Experimento_ID,Ronda,Epochs_Locales,Muestras_Totales,Accuracy,Loss,Trafico_Ronda_KB
2026-05-05 13:24:53,EXP_EPOCHS_1_132447,1,1,60000,0.9478,0.1794,1594.02
2026-05-05 13:25:00,EXP_EPOCHS_1_132447,2,1,60000,0.9621,0.1274,1594.02
2026-05-05 13:25:07,EXP_EPOCHS_1_132447,3,1,60000,0.9697,0.103,1594.02
2026-05-05 13:25:14,EXP_EPOCHS_1_132447,4,1,60000,0.9724,0.0912,1594.02
2026-05-05 13:25:21,EXP_EPOCHS_1_132447,5,1,60000,0.9759,0.0783,1594.02
2026-05-05 13:25:32,EXP_EPOCHS_3_132522,1,3,60000,0.9643,0.1133,1594.02
2026-05-05 13:25:44,EXP_EPOCHS_3_132522,2,3,60000,0.9781,0.0764,1594.02
2026-05-05 13:25:55,EXP_EPOCHS_3_132522,3,3,60000,0.9776,0.0746,1594.02
2026-05-05 13:26:05,EXP_EPOCHS_3_132522,4,3,60000,0.9792,0.076,1594.02
2026-05-05 13:26:15,EXP_EPOCHS_3_132522,5,3,60000,0.9808,0.0725,1594.02
2026-05-05 13:26:33,EXP_EPOCHS_5_132617,1,5,60000,0.9707,0.0969,1594.02
2026-05-05 13:26:48,EXP_EPOCHS_5_132617,2,5,60000,0.978,0.0741,1594.02
2026-05-05 13:27:04,EXP_EPOCHS_5_132617,3,5,60000,0.9791,0.079,1594.02
2026-05-05 13:27:19,EXP_EPOCHS_5_132617,4,5,60000,0.9783,0.08,1594.02
2026-05-05 13:27:33,EXP_EPOCHS_5_132617,5,5,60000,0.9805,0.0851,1594.02
2026-05-05 13:28:05,EXP_EPOCHS_10_132737,1,10,60000,0.9722,0.0971,1594.02
2026-05-05 13:28:31,EXP_EPOCHS_10_132737,2,10,60000,0.978,0.0891,1594.02
2026-05-05 13:28:54,EXP_EPOCHS_10_132737,3,10,60000,0.9797,0.0943,1594.02
2026-05-05 13:29:20,EXP_EPOCHS_10_132737,4,10,60000,0.981,0.1,1594.02
2026-05-05 13:29:46,EXP_EPOCHS_10_132737,5,10,60000,0.9811,0.1054,1594.02
2026-05-05 13:30:11,EXP_EPOCHS_10_132737,6,10,60000,0.9795,0.1292,1594.02
2026-05-06 11:40:13,EXP_20260506_113736,1,3,31500,0.9623,0.1227,1594.02
2026-05-06 11:40:22,EXP_20260506_113736,2,3,31500,0.9694,0.103,1594.02
2026-05-06 11:40:32,EXP_20260506_113736,3,3,31500,0.9679,0.1134,1594.02
2026-05-06 12:11:04,EXP_20260506_121012,1,3,60000,0.9671,0.107,1594.02
2026-05-06 12:11:15,EXP_20260506_121012,2,3,60000,0.9757,0.0789,1594.02
2026-05-06 12:11:32,EXP_EPOCHS_1_121120,1,1,60000,0.9517,0.1671,1594.02
2026-05-06 12:11:39,EXP_EPOCHS_1_121120,2,1,60000,0.9655,0.1137,1594.02
2026-05-06 12:11:46,EXP_EPOCHS_1_121120,3,1,60000,0.9697,0.0954,1594.02
2026-05-06 12:11:53,EXP_EPOCHS_1_121120,4,1,60000,0.972,0.0892,1594.02
2026-05-06 12:12:00,EXP_EPOCHS_1_121120,5,1,60000,0.9751,0.0772,1594.02
2026-05-06 12:12:14,EXP_EPOCHS_3_121200,1,3,60000,0.9623,0.1189,1594.02
2026-05-06 12:12:27,EXP_EPOCHS_3_121200,2,3,60000,0.9758,0.0761,1594.02
2026-05-06 12:12:38,EXP_EPOCHS_3_121200,3,3,60000,0.979,0.068,1594.02
2026-05-06 12:12:49,EXP_EPOCHS_3_121200,4,3,60000,0.9786,0.0719,1594.02
2026-05-06 12:12:59,EXP_EPOCHS_3_121200,5,3,60000,0.9806,0.0736,1594.02
2026-05-06 12:13:19,EXP_EPOCHS_5_121301,1,5,60000,0.9705,0.0954,1594.02
2026-05-06 12:13:35,EXP_EPOCHS_5_121301,2,5,60000,0.9782,0.0758,1594.02
2026-05-06 12:13:52,EXP_EPOCHS_5_121301,3,5,60000,0.9795,0.0807,1594.02
2026-05-06 12:14:08,EXP_EPOCHS_5_121301,4,5,60000,0.9821,0.0815,1594.02
2026-05-06 12:14:24,EXP_EPOCHS_5_121301,5,5,60000,0.9801,0.0901,1594.02
2026-05-06 12:14:59,EXP_EPOCHS_10_121426,1,10,60000,0.9737,0.0909,1594.02
2026-05-06 12:15:26,EXP_EPOCHS_10_121426,2,10,60000,0.9798,0.0825,1594.02
2026-05-06 12:15:53,EXP_EPOCHS_10_121426,3,10,60000,0.9807,0.0877,1594.02
2026-05-06 12:16:22,EXP_EPOCHS_10_121426,4,10,60000,0.9819,0.0951,1594.02
2026-05-06 12:16:50,EXP_EPOCHS_10_121426,5,10,60000,0.9829,0.0974,1594.02
2026-05-06 12:17:18,EXP_EPOCHS_10_121426,6,10,60000,0.9831,0.1076,1594.02
2026-05-06 12:17:45,EXP_EPOCHS_10_121426,7,10,60000,0.9823,0.12,1594.02
2026-05-06 12:18:12,EXP_EPOCHS_10_121426,8,10,60000,0.9816,0.1294,1594.02
2026-05-06 12:18:39,EXP_EPOCHS_10_121426,9,10,60000,0.9832,0.1224,1594.02
2026-05-12 10:57:06,EXP_EPOCHS_1_105658,1,1,60000,0.9464,0.1882,1594.02
2026-05-12 10:57:13,EXP_EPOCHS_1_105658,2,1,60000,0.9594,0.138,1594.02
2026-05-12 10:57:20,EXP_EPOCHS_1_105658,3,1,60000,0.9684,0.1058,1594.02
2026-05-12 10:57:26,EXP_EPOCHS_1_105658,4,1,60000,0.97,0.0984,1594.02
2026-05-12 10:57:33,EXP_EPOCHS_1_105658,5,1,60000,0.9734,0.0852,1594.02
2026-05-12 10:57:45,EXP_EPOCHS_3_105733,1,3,60000,0.965,0.1111,1594.02
2026-05-12 10:57:56,EXP_EPOCHS_3_105733,2,3,60000,0.976,0.0759,1594.02
2026-05-12 10:58:08,EXP_EPOCHS_3_105733,3,3,60000,0.9788,0.0701,1594.02
2026-05-12 10:58:19,EXP_EPOCHS_3_105733,4,3,60000,0.9795,0.0712,1594.02
2026-05-12 10:58:30,EXP_EPOCHS_3_105733,5,3,60000,0.9807,0.0675,1594.02
2026-05-12 10:58:46,EXP_EPOCHS_5_105834,1,5,60000,0.9681,0.1042,1594.02
2026-05-12 10:59:03,EXP_EPOCHS_5_105834,2,5,60000,0.9784,0.0733,1594.02
2026-05-12 10:59:19,EXP_EPOCHS_5_105834,3,5,60000,0.9794,0.0732,1594.02
2026-05-12 10:59:35,EXP_EPOCHS_5_105834,4,5,60000,0.9805,0.0712,1594.02
2026-05-12 10:59:52,EXP_EPOCHS_5_105834,5,5,60000,0.9816,0.0837,1594.02
2026-05-12 11:00:19,EXP_EPOCHS_10_105954,1,10,60000,0.969,0.1178,1594.02
2026-05-12 11:00:47,EXP_EPOCHS_10_105954,2,10,60000,0.9801,0.0888,1594.02
2026-05-12 11:01:16,EXP_EPOCHS_10_105954,3,10,60000,0.9813,0.0938,1594.02
2026-05-12 11:01:44,EXP_EPOCHS_10_105954,4,10,60000,0.9806,0.1003,1594.02
2026-05-12 11:02:11,EXP_EPOCHS_10_105954,5,10,60000,0.9818,0.1077,1594.02
